keperluan,izin,cluster
paskah di rumah opung,IB,0
pulang ke rumah,IB,3
ke rumah bou di balige,IB,0
rumah bou,IB,0
healing,IB,0
healing,IB,0
healing,IB,0
liburan dan mbkm,IB,0
ke rumah opung,IB,0
ke rumah ku,IB,0
pulang ke rumah opung,IB,3
kerumah teman,IB,0
pulang ke rumah opung,IB,3
menjenguk opung,IB,0
ke rumah opung,IB,0
rumah opung,IB,0
rumah opung,IB,0
pemindahan tulang-tulang dari bapauda saya dari jakarta ke samosir,IB,0
bertemu keluargaa,IB,0
rumah bou,IB,0
mengunjungi rumah bou,IB,0
ke rumah bou,IB,0
ke rumah keluarga,IB,0
exit clearence,IB,0
libur semester,IB,0
ke rumah saudara,IB,0
pergi ke rumah opung,IB,0
main ke rumah teman,IB,0
pergi ke rumah teman,IB,0
bertemu keluarga,IB,2
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah opung,IB,3
jalan jalan,IB,0
refreshing,IB,0
bertemu keluarga,IB,2
healing,IB,0
refreshing,IB,0
libur,IB,0
refreshing,IB,0
paskah di rumah opung,IB,0
pulang ke rumah,IB,3
ke rumah bou di balige,IB,0
rumah bou,IB,0
healing,IB,0
healing,IB,0
healing,IB,0
liburan dan mbkm,IB,0
ke rumah opung,IB,0
ke rumah ku,IB,0
pulang ke rumah opung,IB,3
kerumah teman,IB,0
pulang ke rumah opung,IB,3
menjenguk opung,IB,0
ke rumah opung,IB,0
rumah opung,IB,0
rumah opung,IB,0
pemindahan tulang-tulang dari bapauda saya dari jakarta ke samosir,IB,0
bertemu keluargaa,IB,0
rumah bou,IB,0
mengunjungi rumah bou,IB,0
ke rumah bou,IB,0
ke rumah keluarga,IB,0
exit clearence,IB,0
libur semester,IB,0
ke rumah saudara,IB,0
pergi ke rumah opung,IB,0
main ke rumah teman,IB,0
pergi ke rumah teman,IB,0
bertemu keluarga,IB,2
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah opung,IB,3
jalan jalan,IB,0
refreshing,IB,0
bertemu keluarga,IB,2
healing,IB,0
refreshing,IB,0
libur,IB,0
refreshing,IB,0
paskah di rumah opung,IB,0
pulang ke rumah,IB,3
ke rumah bou di balige,IB,0
rumah bou,IB,0
healing,IB,0
healing,IB,0
healing,IB,0
liburan dan mbkm,IB,0
ke rumah opung,IB,0
ke rumah ku,IB,0
pulang ke rumah opung,IB,3
kerumah teman,IB,0
pulang ke rumah opung,IB,3
menjenguk opung,IB,0
ke rumah opung,IB,0
rumah opung,IB,0
rumah opung,IB,0
pemindahan tulang-tulang dari bapauda saya dari jakarta ke samosir,IB,0
bertemu keluargaa,IB,0
rumah bou,IB,0
mengunjungi rumah bou,IB,0
ke rumah bou,IB,0
ke rumah keluarga,IB,0
exit clearence,IB,0
libur semester,IB,0
ke rumah saudara,IB,0
pergi ke rumah opung,IB,0
main ke rumah teman,IB,0
pergi ke rumah teman,IB,0
bertemu keluarga,IB,2
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah opung,IB,3
jalan jalan,IB,0
refreshing,IB,0
bertemu keluarga,IB,2
healing,IB,0
refreshing,IB,0
libur,IB,0
refreshing,IB,0
paskah di rumah opung,IB,0
pulang ke rumah,IB,3
ke rumah bou di balige,IB,0
rumah bou,IB,0
healing,IB,0
healing,IB,0
healing,IB,0
liburan dan mbkm,IB,0
ke rumah opung,IB,0
ke rumah ku,IB,0
pulang ke rumah opung,IB,3
kerumah teman,IB,0
pulang ke rumah opung,IB,3
menjenguk opung,IB,0
ke rumah opung,IB,0
rumah opung,IB,0
rumah opung,IB,0
pemindahan tulang-tulang dari bapauda saya dari jakarta ke samosir,IB,0
bertemu keluargaa,IB,0
rumah bou,IB,0
mengunjungi rumah bou,IB,0
ke rumah bou,IB,0
ke rumah keluarga,IB,0
exit clearence,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester,IB,0
liburan kerumah keluarga,IB,0
"abang liburan,saya juga liburan",IB,0
ke rumah saudara,IB,0
"kemalangan, opung meninggal dunia",IB,0
berlibur semester dan tahun baru,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
kerumah saudara,IB,0
pulang ke rumah opung,IB,3
kerumah saudara,IB,0
pulang kerumah saudara,IB,0
berlibur kerumah keluarga,IB,0
pulang kerumah opung,IB,0
liburan ke rumah opung,IB,0
libur lebaran,IB,0
liburan ke rumah,IB,0
pulang kerumah saudara,IB,0
kerumah keluarga,IB,0
bertemu keluarga,IB,2
berlibur kerumah saudara,IB,0
kerumah saudara,IB,0
libur semester,IB,0
pulang kerumah keluarga,IB,0
pulang kerumah saudara,IB,0
pulang ke rumah saudara,IB,3
pemilu di samosir,IB,0
libur lebaran,IB,0
berlibur ke rumah opung,IB,0
kerumah opung,IB,0
keruma opung,IB,0
kerumah opung,IB,0
pulang ke kampung,IB,0
tempat opung,IB,0
pulang kerumah opung,IB,0
kerumah opung,IB,0
kerumah opung,IB,0
pulang ke rumah opung,IB,3
menunggui wisuda,IB,0
rumah oping,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur semester,IB,0
pulang ke rumah,IB,3
berkunjung ke tempat keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
acara keluarga yaitu menghadiri pernikahan abang dan libur paskah.,IB,0
libur lebaran,IB,0
libur hari buruh,IB,0
berkunjung ke rumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
berkunjung ke rumah keluarga,IB,0
libur semester,IB,0
pulang ke rumah,IB,3
pulang ke rumah karena tanggal merah.,IB,0
pulang untuk pemilihan,IB,0
berkunjung kerumah keluarga,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
exit clearance,IB,0
libur semester 3,IB,0
izin bermalam di rumah.,IB,0
pulang ke rumah,IB,3
bertemu keluarga,IB,2
pulang ke rumah,IB,3
